idx,cas_id,cas_no,chem_name,id,erpg_1,erpg_2,erpg_3,lel
0,50000,50-00-0,FORMALDEHYDE,02528f2e-240d-4447-be74-0fafcde0b009,1,10,40,70000
1,630080,630-08-0,CARBON MONOXIDE,bd1ee7c4-58c6-4b74-82d3-c8da95b4159b,200,350,500,125000
2,7782447,7782-44-7,OXYGEN,cd91b0f6-110f-48c9-b699-b868b965b56e,-1,-1,-1,-1
3,1459092,1459-09-02,N-HEXADECYLBENZENE,d5f9768c-e5e1-4490-9400-d1896ad4006b,-1,-1,-1,5000
4,7726956,7726-95-6,BROMINE,60a8f17c-1f15-4836-8856-d1773a8dccfe,0.1,0.5,5,-1
5,121448,121-44-8,TRIETHYLAMINE,3675b965-6295-46d2-9186-18785b8de139,-1,-1,-1,12000
6,589811,589-81-1,3-METHYLHEPTANE,37068970-d0b9-43b6-b944-3314c8be7a24,-1,-1,-1,7900
7,872059,0872-05-09,1-DECENE,4f3d6bbe-dc69-4f83-b02a-b19610b44144,-1,-1,-1,7000
8,1081772,1081-77-2,N-NONYLBENZENE,8a8914ef-bfe9-4af4-a661-4d06ef16223c,-1,-1,-1,4200
9,141322,141-32-2,N-BUTYL ACRYLATE,adbf81f1-b598-4102-8841-84231bcc9c5c,0.05,25,250,12000
10,629629,629-62-9,N-PENTADECANE,3a977272-4592-4a91-9286-b1bb25a8572a,-1,-1,-1,4700
11,108883,108-88-3,TOLUENE,deaf6ad2-7309-4e41-94ec-7e0931c91b6b,50,300,1000,11000
12,630024,0630-02-04,N-OCTACOSANE,7c9cb4a2-1519-48c0-8ba0-01402c5b511e,-1,-1,-1,3000
13,629787,629-78-7,N-HEPTADECANE,1ca24cca-e576-450d-9178-55a6509e33c6,-1,-1,-1,3600
14,75445,75-44-5,PHOSGENE,c8778a7a-afff-4a44-ab83-ce7e887d63bb,0.071428571,0.5,1.5,-1
15,75285,75-28-5,ISOBUTANE,7cd5720b-c00f-4c58-89ac-60584e776113,-1,-1,-1,18000
16,75503,75-50-3,TRIMETHYLAMINE,48082587-a3c9-4557-8197-ecf14b30dc9d,0.1,100,500,20000
17,638686,638-68-6,N-TRIACONTANE,6bb33d7f-f161-471e-a95d-ba72f82a704c,-1,-1,-1,3000
18,106989,106-98-9,1-BUTENE,cf67aec7-8a8f-400e-b568-10c58772ae2e,-1,-1,-1,16000
19,67630,67-63-0,ISOPROPANOL,5531fff2-9e57-4799-80b2-6e0782b43352,-1,-1,-1,20000
20,593453,593-45-3,N-OCTADECANE,960a4197-e642-405a-8bae-5430bde94755,-1,-1,-1,4000
21,463821,463-82-1,NEOPENTANE,f13472fd-153a-4f8f-9979-9352e39bd40b,-1,-1,-1,14000
22,108952,108-95-2,PHENOL,b4fe11fb-c9b7-46b8-818a-1fab12c25b06,10,50,200,17000
23,7446119,7446-11-9,SULFUR TRIOXIDE,faa661c7-ae23-4105-b2b3-611a16835f7b,0.610767494,3.053837468,36.64604962,-1
24,100447,100-44-7,BENZYL CHLORIDE,3553f92f-9423-4036-82ad-b53181936c69,1,10,50,11000
25,7732185,7732-18-5,WATER,cdba3a26-47b4-438b-b2b4-ca10fd9f9599,-1,-1,-1,-1
26,106978,106-97-8,N-BUTANE,1d43d3de-dcbb-4ed6-97f2-765f16af7def,-1,-1,-1,16000
27,111659,111-65-9,N-OCTANE,b2ab0c21-a86a-4734-a6b4-c96ccbb085e1,-1,-1,-1,9600
28,1120214,1120-21-4,N-UNDECANE,5338f633-47e5-4bb7-8b45-92c0dd6bd20d,-1,-1,-1,7000
29,1333740,1333-74-0,HYDROGEN,75981572-be58-4ac2-8536-2ddc3782075d,-1,-1,-1,40000
30,74895,74-89-5,METHYLAMINE,043ac31a-1b96-4cdf-867a-7ed9f52a2624,10,100,500,49000
31,74862,74-86-2,ACETYLENE,c8becb95-9ed5-4759-91f3-f83765a15934,-1,-1,-1,25000
32,112958,112-95-8,N-EICOSANE,9acaf368-dc9e-4a92-834d-4cc498deaec2,-1,-1,-1,4000
33,64175,64-17-5,ETHANOL,449b4b6d-44f3-4cfa-ae78-45906a3fd894,1800,3300,1000000,33000
34,111875,111-87-5,1-OCTANOL,852255f0-2104-462c-a586-8ec0c8dc03bf,5,20,150,8400
35,629925,629-92-5,N-NONADECANE,7d53ca3e-9434-4ebe-937e-698045063da6,-1,-1,-1,4000
36,302012,0302-01-02,HYDRAZINE,c5a735f2-9c56-4c51-b5fa-5ea6013b110b,0.5,5,30,46700
37,124185,124-18-5,N-DECANE,d8ec8eae-87c1-4671-85ee-b513409207b5,-1,-1,-1,7500
38,67561,67-56-1,METHANOL,b5f0d8f5-0201-411f-8819-126a55655893,200,1000,5000,71800
39,630068,0630-06-08,N-HEXATRIACONTANE,d340284b-e55e-484e-9755-37c65312a174,-1,-1,-1,2000
40,10102439,10102-43-9,NITRIC OXIDE,7f3c4af1-13a1-4167-8024-b19771399a09,-1,-1,-1,-1
41,67641,67-64-1,ACETONE,629f597d-ebb8-436f-8a17-bddd51d59b2b,-1,-1,-1,26000
