,cas_id,vp_consts,calculation_limits,equation_number,equation_string
0,50000,"[49.3632, -3847.87, -4.09834, 4.63632e-17, 6.0]","[155.149993896484, 420.0]",101,DIPPR101
1,630080,"[45.698, -1076.6, -4.8814, 7.5673e-05, 2.0]","[68.1500015258789, 132.919998168945]",101,DIPPR101
2,7782447,"[51.245, -1200.2, -6.4361, 0.028405, 1.0]","[54.3600006103516, 154.580001831055]",101,DIPPR101
3,1459092,"[107.34, -15295.0, -11.18, 1.3401e-18, 6.0]","[300.149993896484, 818.0]",101,DIPPR101
4,7726956,"[108.26, -6592.0, -14.16, 0.016043, 1.0]","[265.850006103516, 584.150024414063]",101,DIPPR101
5,121448,"[56.55, -5681.9, -4.9815, 1.2363e-17, 6.0]","[158.449996948242, 535.150024414063]",101,DIPPR101
6,589811,"[96.07, -7700.9, -11.067, 7.6863e-06, 2.0]","[152.600006103516, 563.599975585938]",101,DIPPR101
7,872059,"[68.401, -7776.9, -6.4637, 6.375e-18, 6.0]","[206.889999389648, 616.599975585938]",101,DIPPR101
8,1081772,"[123.0, -13434.0, -13.842, 6.4016e-18, 6.0]","[249.0, 741.0]",101,DIPPR101
9,141322,"[81.598, -7612.9, -8.7765, 5.955e-06, 2.0]","[208.550003051758, 598.0]",101,DIPPR101
10,629629,"[135.57, -13478.0, -16.022, 5.6136e-06, 2.0]","[283.070007324219, 708.0]",101,DIPPR101
11,108883,"[76.945, -6729.8, -8.179, 5.3017e-06, 2.0]","[178.179992675781, 591.75]",101,DIPPR101
12,630024,"[292.12, -28200.0, -37.544, 1.135e-05, 2.0]","[334.350006103516, 832.0]",101,DIPPR101
13,629787,"[156.95, -15557.0, -18.966, 6.4559e-06, 2.0]","[295.130004882813, 736.0]",101,DIPPR101
14,-4,"[47.0169, -2839.0, -3.86388, 2.81115e-16, 6.0]","[216.580001831055, 304.209991455078]",101,DIPPR101
15,75445,"[112.32, -5677.4, -15.351, 0.02125, 1.0]","[145.369995117188, 455.0]",101,DIPPR101
16,75285,"[108.43, -5039.9, -15.012, 0.022725, 1.0]","[113.540000915527, 407.799987792969]",101,DIPPR101
17,75503,"[134.68, -6055.8, -19.415, 0.028619, 1.0]","[156.080001831055, 433.25]",101,DIPPR101
18,638686,"[386.27, -34581.0, -50.953, 1.6324e-05, 2.0]","[338.649993896484, 844.0]",101,DIPPR101
19,106989,"[51.836, -4019.2, -4.5229, 4.8833e-17, 6.0]","[87.8000030517578, 419.5]",101,DIPPR101
20,67630,"[110.717, -9040.0, -12.676, 5.538e-06, 2.0]","[185.259994506836, 508.299987792969]",101,DIPPR101
21,593453,"[157.68, -16093.0, -18.954, 5.9272e-06, 2.0]","[301.309997558594, 747.0]",101,DIPPR101
22,463821,"[42.256, -3723.2, -3.1133, 3.154e-17, 6.0]","[256.600006103516, 433.799987792969]",101,DIPPR101
23,108952,"[95.444, -10113.0, -10.09, 6.7603e-18, 6.0]","[314.059997558594, 694.25]",101,DIPPR101
24,7446119,"[180.99, -12060.0, -22.839, 7.235e-17, 6.0]","[289.950012207031, 490.850006103516]",101,DIPPR101
25,100447,"[54.751, -7169.8, -4.4836, 1.3858e-18, 6.0]","[234.149993896484, 686.0]",101,DIPPR101
26,7732185,"[73.649, -7258.2, -7.3037, 4.1653e-06, 2.0]","[273.160003662109, 647.096008300781]",101,DIPPR101
27,106978,"[66.343, -4363.2, -7.046, 9.4509e-06, 2.0]","[134.860000610352, 425.119995117188]",101,DIPPR101
28,111659,"[96.084, -7900.2, -11.003, 7.1802e-06, 2.0]","[216.380004882813, 568.700012207031]",101,DIPPR101
29,1120214,"[131.0, -11143.0, -15.855, 8.1871e-06, 2.0]","[247.570007324219, 639.0]",101,DIPPR101
